Title,Link,Summary
"Tổng Bí thư, Chủ tịch nước gặp lãnh đạo châu Âu, Tổng thống Ukraine",https://vnexpress.net/tong-bi-thu-chu-tich-nuoc-gap-lanh-dao-chau-au-tong-thong-ukraine-4796753.html,"Tổng Bí thư, Chủ tịch nước Tô Lâm gặp Chủ tịch EC Ursula von de Layern và Tổng thống Ukraine Zelensky trong khuôn khổ chuyến công tác tại Mỹ."
"Tổng Bí thư, Chủ tịch nước nêu tầm nhìn cho tương lai hòa bình, thịnh vượng",https://vnexpress.net/tong-bi-thu-chu-tich-nuoc-neu-tam-nhin-cho-tuong-lai-hoa-binh-thinh-vuong-4796687.html,"Tổng Bí thư, Chủ tịch nước Tô Lâm kêu gọi đoàn kết, đặt người dân vào trung tâm khi vạch ra tầm nhìn về tương lai hòa bình, thịnh vượng của thế giới, trong bài phát biểu trước Đại hội đồng LHQ."
Iran sẵn sàng hợp tác để gỡ bế tắc hạt nhân,https://vnexpress.net/iran-san-sang-hop-tac-de-go-be-tac-hat-nhan-4796690.html,"Tổng thống Masoud Pezeshkian tuyên bố Iran sẵn sàng hợp tác nhằm chấm dứt căng thẳng hạt nhân với phương Tây và mở ra ""kỷ nguyên mới""."
Nghi phạm âm mưu ám sát ông Trump đối mặt án chung thân,https://vnexpress.net/nghi-pham-am-muu-am-sat-ong-trump-doi-mat-an-chung-than-4796689.html,"Ryan Routh, nghi phạm âm mưu ám sát ông Trump ở Florida, bị truy tố thêm 3 tội danh và đối mặt mức án cao nhất là chung thân."
Ông Netanyahu: Israel sẽ tiếp tục không kích Hezbollah,https://vnexpress.net/ong-netanyahu-israel-se-tiep-tuc-khong-kich-hezbollah-4796684.html,"Thủ tướng Netanyahu tuyên bố Israel sẽ không ngừng chiến dịch không kích nhằm vào Hezbollah, giữa lúc căng thẳng đang leo thang nhanh chóng."
250 chiến đấu cơ Israel đã không kích 1.500 mục tiêu Hezbollah,https://vnexpress.net/250-chien-dau-co-israel-da-khong-kich-1-500-muc-tieu-hezbollah-4796671.html,"Israel tuyên bố 250 tiêm kích đã tham gia chiến dịch không kích diện rộng, phóng khoảng 2.000 quả đạn vào mục tiêu Hezbollah ở Lebanon trong ngày 23-24/9."
Tương quan sức mạnh quân sự Israel - Hezbollah,https://vnexpress.net/tuong-quan-suc-manh-quan-su-israel-hezbollah-4796573.html,"Israel chiếm ưu thế tuyệt đối về quân đội chính quy, trong khi Hezbollah vẫn có lợi thế nhờ sở hữu kho tên lửa và rocket tới 150.000 quả."
Thái Lan thông qua luật công nhận hôn nhân đồng giới,https://vnexpress.net/thai-lan-thong-qua-luat-cong-nhan-hon-nhan-dong-gioi-4796650.html,"Quốc vương Vajiralongkorn phê chuẩn luật hôn nhân mới, trong đó thừa nhận hôn nhân đồng giới, dự kiến có hiệu lực vào đầu năm 2025."
"Israel không kích thành trì của Hezbollah, hạ sát chỉ huy",https://vnexpress.net/israel-khong-kich-thanh-tri-cua-hezbollah-ha-sat-chi-huy-4796637.html,Israel hạ chỉ huy đơn vị tên lửa và rocket của Hezbollah trong đòn không kích thành trì nhóm ở vùng ngoại ô Beirut.
Hàng thập kỷ đối đầu giữa Israel và Hezbollah,https://vnexpress.net/hang-thap-ky-doi-dau-giua-israel-va-hezbollah-4796196.html,"Ngọn lửa xung đột âm ỉ suốt nhiều thập kỷ giữa Hezbollah và Israel đang bị thổi bùng, dẫn tới nguy cơ chiến tranh toàn diện."
Tổng thống Iran: Không thể để Lebanon thành Gaza thứ hai,https://vnexpress.net/tong-thong-iran-khong-the-de-lebanon-thanh-gaza-thu-hai-4796619.html,"Tổng thống Iran kêu gọi cộng đồng quốc tế can thiệp để tránh kịch bản Lebanon bị tàn phá bởi chiến sự, khi căng thẳng Israel - Hezbollah dâng cao."
Những thành phố Nhật bán vàng từ tro cốt,https://vnexpress.net/nhung-thanh-pho-nhat-ban-vang-tu-tro-cot-4796501.html,"Một số thành phố ở Nhật đem bán vàng, titan, những kim loại quý thu được sau khi hỏa táng người đã khuất, khi đất nước chưa có quy định pháp lý về vấn đề này."
Tia hy vọng khi Israel - Hezbollah chưa tuyên chiến,https://vnexpress.net/tia-hy-vong-khi-israel-hezbollah-chua-tuyen-chien-4796286.html,"Israel và Hezbollah chưa tuyên bố chiến tranh dù liên tục tập kích nhau, làm dấy lên hy vọng không nổ ra xung đột tổng lực."
Hàn Quốc trợ cấp 127.000 USD cho cặp vợ chồng sinh 5,https://vnexpress.net/han-quoc-tro-cap-127-000-usd-cho-cap-vo-chong-sinh-5-4796526.html,"Hàn Quốc lần đầu ghi nhận trường hợp sinh 5 chào đời bằng phương pháp tự nhiên, trợ cấp cho cặp vợ chồng 127.000 USD."
Phòng không Israel để lọt rocket Hezbollah,https://vnexpress.net/phong-khong-israel-de-lot-rocket-hezbollah-4796495.html,"Hezbollah phóng hơn 80 rocket vào nhiều vùng ở Israel, phần lớn bị chặn nhưng một số quả lọt qua lưới phòng không và gây thiệt hại."
Ông Trump đưa ra lời hứa với nữ cử tri,https://vnexpress.net/ong-trump-dua-ra-loi-hua-voi-nu-cu-tri-4796500.html,"Trump tuyên bố sẽ cải thiện đời sống của phụ nữ và bảo vệ họ nếu đắc cử tổng thống, khi ông đang nỗ lực thu hút cử tri nữ."
Israel đăng video phá hủy 'tên lửa sắp khai hỏa' của Hezbollah,https://vnexpress.net/israel-dang-video-pha-huy-ten-lua-sap-khai-hoa-cua-hezbollah-4796382.html,"Quân đội Israel công bố video tập kích loạt mục tiêu Hezbollah, trong đó có tên lửa hành trình DR-3 sắp khai hỏa tại một ngôi nhà ở Lebanon."
Khuyến cáo công dân Việt Nam không đến miền bắc Israel,https://vnexpress.net/khuyen-cao-cong-dan-viet-nam-khong-den-mien-bac-israel-4796368.html,"Công dân Việt Nam tại Israel được khuyến cáo hạn chế đến các vùng không đảm bảo an ninh, nhất là miền bắc nước này, do căng thẳng leo thang."
Ngày đẫm máu nhất trong hơn ba thập kỷ ở Lebanon,https://vnexpress.net/ngay-dam-mau-nhat-trong-hon-ba-thap-ky-o-lebanon-4796250.html,"Israel oanh tạc miền nam Lebanon gây hàng nghìn thương vong, đánh dấu ngày đẫm máu nhất Lebanon kể từ nội chiến, khiến hoảng loạn bao trùm đất nước."
Mỹ phản đối Israel mở chiến dịch trên bộ ở Lebanon,https://vnexpress.net/my-phan-doi-israel-mo-chien-dich-tren-bo-o-lebanon-4796271.html,"Mỹ phản đối khả năng Israel đưa quân vào Lebanon và đang đề xuất những ý tưởng để xoa dịu khủng hoảng, theo quan chức giấu tên."
'Trục kháng chiến' của Iran cảnh giác về cách liên lạc sau loạt vụ nổ ở Lebanon,https://vnexpress.net/truc-khang-chien-cua-iran-canh-giac-ve-cach-lien-lac-sau-loat-vu-no-o-lebanon-4795799.html,"Loạt thiết bị của Hezbollah phát nổ cho thấy nguy cơ đối thủ xâm nhập mạng lưới liên lạc của ""trục kháng chiến"", buộc họ tìm cách kết nối mới."
Nghi phạm từng nhắc đến âm mưu ám sát ông Trump trước vài tháng,https://vnexpress.net/nghi-pham-tung-nhac-den-am-muu-am-sat-ong-trump-truoc-vai-thang-4796240.html,"Ryan Routh, nghi phạm suýt bắn ông Trump ở sân golf, từng viết thư về ""âm mưu ám sát bất thành"" nhằm vào cựu tổng thống vài tháng trước."
"LHQ, châu Âu lo ngại trước cuộc tập kích của Israel vào Lebanon",https://vnexpress.net/lhq-chau-au-lo-ngai-truoc-cuoc-tap-kich-cua-israel-vao-lebanon-4796232.html,"Lãnh đạo các nước, tổ chức quốc tế lo ngại cuộc tấn công của Israel vào Lebanon làm tăng nguy cơ xảy ra ""xung đột toàn diện""."
Số người chết trong đòn tấn công của Israel vào Lebanon tăng lên 558,https://vnexpress.net/so-nguoi-chet-trong-don-tan-cong-cua-israel-vao-lebanon-tang-len-558-4796226.html,"Số người chết trong đợt tấn công của Israel vào miền nam Lebanon ngày 23/9 đã tăng lên 558, trong đó có 50 trẻ em."
"Tổng Bí thư, Chủ tịch nước nói về 'kỷ nguyên vươn mình' của Việt Nam",https://vnexpress.net/tong-bi-thu-chu-tich-nuoc-noi-ve-ky-nguyen-vuon-minh-cua-viet-nam-4796204.html,"Tổng Bí thư, Chủ tịch nước Tô Lâm chia sẻ với giảng viên, sinh viên đại học Mỹ về ""kỷ nguyên vươn mình"" của Việt Nam với kỳ vọng đóng góp nhiều hơn cho thế giới."
Người dân Lebanon vội vã sơ tán sau cuộc tập kích của Israel,https://vnexpress.net/nguoi-dan-lebanon-voi-va-so-tan-sau-cuoc-tap-kich-cua-israel-4796191.html,"Hàng trăm gia đình ở Lebanon sơ tán khẩn cấp sau khi Israel tập kích hàng trăm địa điểm ở nước này, khiến hơn 270 người thiệt mạng."
Ông Trump dẫn trước bà Harris ở ba bang chiến trường,https://vnexpress.net/ong-trump-dan-truoc-ba-harris-o-ba-bang-chien-truong-4796001.html,"Ông Trump dẫn trước bà Harris ở ba bang chiến trường Arizona, Georgia và Bắc Carolina, song cách biệt không quá lớn."
Khuyến cáo khẩn cấp công dân Việt Nam rời khỏi Lebanon,https://vnexpress.net/khuyen-cao-khan-cap-cong-dan-viet-nam-roi-khoi-lebanon-4796176.html,"Công dân Việt Nam đang sinh sống, làm việc tại Lebanon được khuyến cáo rời khỏi nước này khi các chuyến bay thương mại vẫn còn hoạt động."
274 người chết trong đòn tấn công của Israel vào Lebanon,https://vnexpress.net/274-nguoi-chet-trong-don-tan-cong-cua-israel-vao-lebanon-4796164.html,Giới chức Lebanon thông báo ít nhất 274 người thiệt mạng và hơn 1.000 người bị thương trong cuộc tấn công hiệp đồng của Israel vào miền nam nước này.
"Israel gọi điện, gửi tin nhắn yêu cầu dân Lebanon sơ tán",https://vnexpress.net/israel-goi-dien-gui-tin-nhan-yeu-cau-dan-lebanon-so-tan-4796135.html,"Truyền thông Lebanon đưa tin quân đội Israel gửi tin nhắn và gọi điện yêu cầu dân thường nước này sơ tán, tránh xa vị trí của lực lượng Hezbollah."
Trung Quốc kêu gọi công dân nhanh chóng rời Israel,https://vnexpress.net/trung-quoc-keu-goi-cong-dan-nhanh-chong-roi-israel-4796073.html,"Trung Quốc kêu gọi công dân rời Israel ""sớm nhất có thể"", do căng thẳng giữa nước này với nhóm Hezbollah ở Lebanon leo thang."
Tỉnh miền trung Nhật Bản ngổn ngang sau mưa lũ,https://vnexpress.net/tinh-mien-trung-nhat-ban-ngon-ngang-sau-mua-lu-4795944.html,"Đường sá sạt lở, nhiều khu dân cư bị cô lập, bùn đất và rác rưởi ngổn ngang sau trận mưa to gây ngập lụt ở tỉnh Ishikawa."
Hàng chục tiêm kích Israel tấn công mục tiêu Hezbollah ở Lebanon,https://vnexpress.net/hang-chuc-tiem-kich-israel-tan-cong-muc-tieu-hezbollah-o-lebanon-4796046.html,"Quân đội Israel tuyên bố ""không kích diện rộng"", huy động hàng chục chiến đấu cơ tấn công hàng trăm vị trí của nhóm vũ trang Hezbollah tại Lebanon."
Ông Trump chỉ trích 'nữ hoàng' truyền hình Mỹ,https://vnexpress.net/ong-trump-chi-trich-nu-hoang-truyen-hinh-my-4795900.html,Cựu tổng thống Trump chỉ trích 'nữ hoàng' truyền hình Mỹ Oprah Winfrey sau khi bà chủ trì sự kiện vận động ủng hộ ứng viên Dân chủ Kamala Harris.
